--Effect codes
EFFECT_IMMUNE_EFFECT                = 1
EFFECT_DISABLE                      = 2
EFFECT_CANNOT_DISABLE               = 3
EFFECT_SET_CONTROL                  = 4
EFFECT_CANNOT_CHANGE_CONTROL        = 5
EFFECT_CANNOT_ACTIVATE              = 6
EFFECT_CANNOT_TRIGGER               = 7
EFFECT_DISABLE_EFFECT               = 8
EFFECT_DISABLE_CHAIN                = 9
EFFECT_DISABLE_TRAPMONSTER          = 10
EFFECT_CANNOT_INACTIVATE            = 12
EFFECT_CANNOT_DISEFFECT             = 13
EFFECT_CANNOT_CHANGE_POSITION       = 14
EFFECT_TRAP_ACT_IN_HAND             = 15
EFFECT_TRAP_ACT_IN_SET_TURN         = 16
EFFECT_REMAIN_FIELD                 = 17
EFFECT_MONSTER_SSET                 = 18
EFFECT_QP_ACT_IN_SET_TURN           = 19
EFFECT_CANNOT_SUMMON                = 20
EFFECT_CANNOT_FLIP_SUMMON           = 21
EFFECT_CANNOT_SPECIAL_SUMMON        = 22
EFFECT_CANNOT_MSET                  = 23
EFFECT_CANNOT_SSET                  = 24
EFFECT_CANNOT_DRAW                  = 25
EFFECT_CANNOT_DISABLE_SUMMON        = 26
EFFECT_CANNOT_DISABLE_SPSUMMON      = 27
EFFECT_SET_SUMMON_COUNT_LIMIT       = 28
EFFECT_EXTRA_SUMMON_COUNT           = 29
EFFECT_SPSUMMON_CONDITION           = 30
EFFECT_REVIVE_LIMIT                 = 31
EFFECT_SUMMON_PROC                  = 32
EFFECT_LIMIT_SUMMON_PROC            = 33
EFFECT_SPSUMMON_PROC                = 34
EFFECT_EXTRA_SET_COUNT              = 35
EFFECT_SET_PROC                     = 36
EFFECT_LIMIT_SET_PROC               = 37
EFFECT_LIGHT_OF_INTERVENTION        = 38
EFFECT_CANNOT_DISABLE_FLIP_SUMMON   = 39
EFFECT_INDESTRUCTABLE               = 40
EFFECT_INDESTRUCTABLE_EFFECT        = 41
EFFECT_INDESTRUCTABLE_BATTLE        = 42
EFFECT_UNRELEASABLE_SUM             = 43
EFFECT_UNRELEASABLE_NONSUM          = 44
EFFECT_DESTROY_SUBSTITUTE           = 45
EFFECT_CANNOT_RELEASE               = 46
EFFECT_INDESTRUCTABLE_COUNT         = 47
EFFECT_UNRELEASABLE_EFFECT          = 48
EFFECT_DESTROY_REPLACE              = 50
EFFECT_RELEASE_REPLACE              = 51
EFFECT_SEND_REPLACE                 = 52
EFFECT_CANNOT_DISCARD_HAND          = 55
EFFECT_CANNOT_DISCARD_DECK          = 56
EFFECT_CANNOT_USE_AS_COST           = 57
EFFECT_CANNOT_PLACE_COUNTER         = 58
EFFECT_CANNOT_TO_GRAVE_AS_COST      = 59
EFFECT_LEAVE_FIELD_REDIRECT         = 60
EFFECT_TO_HAND_REDIRECT             = 61
EFFECT_TO_DECK_REDIRECT             = 62
EFFECT_TO_GRAVE_REDIRECT            = 63
EFFECT_REMOVE_REDIRECT              = 64
EFFECT_CANNOT_TO_HAND               = 65
EFFECT_CANNOT_TO_DECK               = 66
